model,split,acc_mean,acc_std,bacc_mean,bacc_std,state_acc_mean,state_acc_std
ci_track_c,heldout_composition,0.8651666666666666,0.043835868114288946,0.8006127431431658,0.031269509339078586,0.8651666666666666,0.043835868114288946
ci_track_c,heldout_duration,0.8375,0.005500000000000005,0.85773635412994,0.0064367467694434735,0.8375,0.005500000000000005
ci_track_c,heldout_family,0.5065000000000001,0.055863673348608214,0.5695342405607019,0.04956345626360407,0.5065000000000001,0.055863673348608214
ci_track_c,heldout_template,0.9356666666666666,0.010889597482613091,0.9473170681311528,0.009630407980673623,0.9356666666666666,0.010889597482613091
ci_track_c,standard_test,0.9305,0.013432702632009652,0.9409699586158692,0.010276891396174478,0.9305,0.013432702632009652
lora_only_track_c,heldout_composition,0.5051666666666667,0.03894333490256495,0.35392349241270216,0.0595959258413655,0.5051666666666667,0.03894333490256495
lora_only_track_c,heldout_duration,0.565,0.004582575694955784,0.561569830696389,0.03679515849215355,0.565,0.004582575694955784
lora_only_track_c,heldout_family,0.42383333333333334,0.043475088652391886,0.4865009899408079,0.056486613201438995,0.42383333333333334,0.043475088652391886
lora_only_track_c,heldout_template,0.5468333333333333,0.00585946527708232,0.5556145328032004,0.04681101443855111,0.5468333333333333,0.00585946527708232
lora_only_track_c,standard_test,0.5513333333333333,0.009474747138226634,0.5578743283318723,0.04328024259942712,0.5513333333333333,0.009474747138226634
