model,condition,acc_mean,acc_std,bacc_mean,bacc_std,state_acc_mean,state_acc_std
ci_track_c,both_agree,0.9313333333333333,0.007221207193629951,0.9403127514835514,0.004263110868943987,0.9313333333333333,0.007221207193629951
ci_track_c,ci_hidden_time,0.9305,0.013432702632009652,0.9409699586158692,0.010276891396174478,0.9305,0.013432702632009652
ci_track_c,conflict_scalar_follow,0.9065,0.012992786460186258,nan,nan,nan,nan
ci_track_c,conflict_prompt_follow,0.3323333333333333,0.007221207193629967,nan,nan,nan,nan
ci_track_c,no_time_control,0.5510833333333333,0.004193248541803028,0.5237582869449903,0.012168165274914208,0.5510833333333333,0.004193248541803028
ci_track_c,prompt_timestamp,0.54275,0.012691040146497027,0.5115160199495937,0.022952668344307765,0.54275,0.012691040146497027
ci_track_c,shuffled_time_control,0.33225,0.009672771061076571,0.35565769913469564,0.019486592102755742,0.33225,0.009672771061076571
lora_only_track_c,ci_hidden_time,0.5513333333333333,0.009474747138226634,0.5578743283318723,0.04328024259942712,0.5513333333333333,0.009474747138226634
prompt_lora_track_c,prompt_timestamp,0.9892500000000001,0.005220153254455248,0.9919795690375683,0.003937909014608659,0.9892500000000001,0.005220153254455248
vanilla,no_time_control,0.3730833333333334,0.003617089069035089,0.3758469810528273,0.008194990113970135,0.3730833333333334,0.003617089069035089
vanilla,prompt_timestamp,0.37375,0.003473110997362438,0.37169721621910295,0.012260470736138932,0.37375,0.003473110997362438
