family,acc_mean,acc_std,bacc_mean,bacc_std,state_acc_mean,state_acc_std
quota,0.5065000000000001,0.055863673348608214,0.5695342405607019,0.04956345626360407,0.5065000000000001,0.055863673348608214
cache,0.9711075261589478,0.01890912350711348,0.9711075261589478,0.018909123507113473,0.9711075261589478,0.01890912350711348
deadline,0.9588534135384735,0.025533036658949532,0.9298482553345915,0.043807199580266236,0.9588534135384735,0.025533036658949532
job,0.9459170788321458,0.0172556353022271,0.9459170788321458,0.017255635302227085,0.9459170788321458,0.0172556353022271
multi,0.9028439553526594,0.012588365259979351,0.9158737179407236,0.006255058563354236,0.9028439553526594,0.012588365259979351
staleness,0.9550312801096501,0.009021704202943905,0.9464564096317124,0.01913748189456804,0.9550312801096501,0.009021704202943905
